PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
42852,WENDY ESPINOSA,Experienced Child Care Provider,727 Lupine DR,Bayfield,CO,81122,La Plata,Bayfield,-107.589132,37.228275, , ,Level 1,9,2,2,12/31/2018 0:00,4,1,12/31/2018 0:00,3,1,20170930
42960,THOMPSON INTEGRATED EC PROGRAM C M CENTER,Preschool,4129 Joni LN,Loveland,CO,80537,Larimer,Loveland,-105.099348,40.350884, , ,Level 4,20, , , , , , , , ,20170930
43049,ROCKY MTN MONTESSORI ACADEMY INC,Day care center,7675 Lexington DR,Colorado Springs,CO,80920,El Paso,Colorado Springs,-104.762814,38.942756, , ,Level 1,91,9,7,2/28/2020 0:00,11,1,2/28/2020 0:00,14,1,20170930
43051,YMCA OF BLDR VALLEY @ ARAPAHOE BRANCH,School age child care,2800 Dagny WAY,Lafayette,CO,80026,Boulder,Lafayette-Louisville,-105.13459,40.012709, , , ,400, , ,4/30/2020 0:00,33,1,4/30/2020 0:00,3,1,20170930
43052,CENTENNIAL PRESCHOOL,Preschool,13200 Westlake DR,Broomfield,CO,80020,Broomfield,Broomfield,-105.022798,39.934703,1/23/2017 0:00,1/23/2020 0:00,Level 2,48, , , , , , , , ,20170930
43125,APRIL SHIELDS,Day care home,2802 8th AVE,Pueblo,CO,81003,Pueblo,Pueblo,-104.624957,38.296785,3/4/2016 0:00,3/4/2019 0:00,Level 2,6, , ,9/30/2017 0:00,0,1,9/30/2017 0:00,0,1,20170930
43210,GOODNIGHT PRESCHOOL,Preschool,624 Windy WAY,Pueblo,CO,81005,Pueblo,Pueblo,-104.670595,38.255204, , ,Level 1,16, , , , , , , , ,20170930
43211,COLUMBIAN,Day care center,1203 Palmer AVE,Pueblo,CO,81004,Pueblo,Pueblo,-104.630039,38.244938, , ,Level 1,60, , , , , , , , ,20170930
43212,BEULAH HEIGHTS PRESCHOOL,Preschool,2670 Delphinium,Pueblo,CO,81005,Pueblo,Pueblo,-104.648599,38.222824, , ,Level 1,32, , , , , , , , ,20170930
43213,CARLILE PRESCHOOL,Preschool,736 W Evans AVE,Pueblo,CO,81004,Pueblo,Pueblo,-104.631074,38.264686, , ,Level 1,32, , , , , , , , ,20170930
43214,BESSEMER,Day care center,1125 E Routte,Pueblo,CO,81003,Pueblo,Pueblo,-104.616504,38.246762, , ,Level 1,80, , , , , , , , ,20170930
43215,BELMONT PRESCHOOL,Preschool,31 MacNaughton RD,Pueblo,CO,81001,Pueblo,Pueblo,-104.590301,38.298545, , ,Level 1,32, , , , , , , , ,20170930
43246,EUDORA LONDON,Large day care home,1641 Acacia DR,Colorado Springs,CO,80907,El Paso,Colorado Springs,-104.796093,38.884247, , ,Level 3,12,6,5,12/31/2017 0:00,10,1,12/31/2017 0:00,14,1,20170930
43325,MORTON PRESCHOOL,Preschool,1900 W 31st ST,Pueblo,CO,81008,Pueblo,Pueblo,-104.63223,38.300356, , ,Level 1,32, , , , , , , , ,20170930
43330,HAAFF PRESCHOOL,Preschool,15 Chinook LN,Pueblo,CO,81001,Pueblo,Pueblo,-104.599918,38.297254, , ,Level 1,32, , , , , , , , ,20170930
43331,SOUTH PARK,Day care center,3100 Hollywood DR,Pueblo,CO,81005,Pueblo,Pueblo,-104.653168,38.21504, , ,Level 1,48, , , , , , , , ,20170930
43332,SUNSET PARK PRESCHOOL,Preschool,110 University CIR,Pueblo,CO,81005,Pueblo,Pueblo,-104.656288,38.245976, , ,Level 1,32, , , , , , , , ,20170930
43457,KATHY JO MARTINEZ,Experienced Child Care Provider,470 Batterson ST,Monte Vista,CO,81144,Rio Grande,Monte Vista,-106.150842,37.575814,5/31/2017 0:00,5/31/2020 0:00,Level 4,9,5,3,5/20/2018 0:00,5,1,5/20/2018 0:00,5,1,20170930
43508,BERNADETTE JAY,Day Care Home 3,914 Tomlinson DR,Wray,CO,80758,Yuma,Wray,-102.211034,40.081789, , ,Level 1,6,1,1,6/30/2019 0:00,1,1,6/30/2019 0:00,3,1,20170930
43525,LITTLE ANGEL'S DAYCARE,Day care center,13963 E Exposition,Aurora,CO,80012,Arapahoe,South Aurora,-104.826207,39.704849,7/31/2016 0:00,7/31/2019 0:00,Level 4,177,129,73,4/30/2019 0:00,147,1,7/31/2019 0:00,148,1,20170930
43646,THELMA ADAMS-GADISON,Day care home,1244 Quari ST,Aurora,CO,80011,Arapahoe,South Aurora,-104.845782,39.735154,9/17/2017 0:00,9/17/2020 0:00,Level 2,6,2,1,4/30/2018 0:00,2,1,4/30/2018 0:00,2,1,20170930
43903,SHELLI WOOD,Day Care Home 3,1296 Meadow Sweet RD,Golden,CO,80401,Jefferson,Northeast Jefferson,-105.148456,39.737517, , ,Level 1,6,1,1,10/31/2018 0:00,3,1,10/31/2018 0:00,2,1,20170930
43914,MELISSA DUNN,Experienced Child Care Provider,1340 Amstel DR,Colorado Springs,CO,80907,El Paso,Colorado Springs,-104.848226,38.887013, , ,Level 2,9, , , , , , , , ,20170930
43926,HIGHLANDS RANCH LEARNING CENTER,Day care center,405 Dad Clark DR,Highlands Ranch,CO,80126,Douglas,Sedalia,-104.983572,39.563616,8/23/2016 0:00,8/23/2019 0:00,Level 2,275, , , , , , , , ,20170930
43928,CHOICE CITY CHRISTIAN CAMP LLC,School age child care,2112 E Harmony,Fort Collins,CO,80525,Larimer,Fort Collins,-105.038297,40.523703, , , ,100, , , , , , , , ,20170930
43930,KINDERCARE LEARNING CENTERS LLC,Day care center,1045 Opal ST,Broomfield,CO,80020,Broomfield,Broomfield,-105.089411,39.930318, , ,Level 4,183,47,29,7/30/2019 0:00,48,1,6/30/2019 0:00,55,1,20170930
43961,EVA BACA,Day care center,2800 E 17th ST,Pueblo,CO,81001,Pueblo,Pueblo,-104.560391,38.283259, , ,Level 1,32, , , , , , , , ,20170930
43962,MINNEQUA,Day care center,1708 E Orman,Pueblo,CO,81004,Pueblo,Pueblo,-104.620192,38.236016, , ,Level 1,32, , , , , , , , ,20170930
43968,KIMBERLY APODACA,Day care home,950 S Harmony DR,Pueblo West,CO,81007,Pueblo,Pueblo West,-104.757197,38.303492, , ,Level 1,6, , , , , , , , ,20170930
44150,COLORADO ATHLETIC CLUB MONACO,School age child care,2695 S Monaco PKWY,Denver,CO,80222,Denver,Denver,-104.913829,39.668702, , , ,60, , , , , , , , ,20170930
44271,JENEANE MULLIN,Large day care home,458 Meadow RD,Grand Junction,CO,81504,Mesa,Clifton,-108.471911,39.071075, , ,Level 1,12,13,5,5/31/2018 0:00,15,1,5/31/2018 0:00,17,1,20170930
44286,GUILLERMINA TOVAR,Day care home,1495 S Osage ST,Denver,CO,80223,Denver,Denver,-105.005467,39.689604, , ,Level 1,6,3,1,2/28/2019 0:00,4,1,2/28/2019 0:00,2,1,20170930
44288,SUMMER SCHOLARS HARRINGTON ELEMENTARY,School age child care,2401 E 37th AVE,Denver,CO,80205,Denver,Denver,-104.958772,39.768731, , , ,100, , , , , , , , ,20170930
44295,KINDERCARE LEARNING CENTERS LLC,Day care center,9290 Ridgeline BLVD,Highlands Ranch,CO,80129,Douglas,Sedalia,-104.995669,39.547611, , ,Level 4,183,24,18,6/30/2020 0:00,31,1,6/30/2020 0:00,22,1,20170930
44347,CAROLINE KENNEDY,Experienced Child Care Provider,12479 W 71st PL,Arvada,CO,80004,Jefferson,Northeast Jefferson,-105.139832,39.826664,7/31/2016 0:00,7/31/2019 0:00,Level 3,9, , ,10/31/2019 0:00,0,1,10/31/2019 0:00,0,1,20170930
44373,WEE CREEKERS,Day care center,30595 Skyline DR,Golden,CO,80403,Jefferson,Golden,-105.347961,39.902601, , ,Level 1,51,2,1,5/31/2019 0:00,2,1,5/31/2019 0:00,2,1,20170930
44395,BVSD KINDERGARTEN ENRICHMENT@ASPEN CREEK K-8,School age child care,5500 Aspen Creek DR,Broomfield,CO,80020,Broomfield,Broomfield,-105.056787,39.947513, , , ,30, , ,6/30/2019 0:00,0,1,6/30/2019 0:00,0,1,20170930
44397,BVSD KINDERGARTEN ENRICHMENT @ ELDORADO K-8,School age child care,3351 Indiana ST,Superior,CO,80027,Boulder,Lafayette-Louisville,-105.161277,39.921541, , , ,19,1,1,9/14/2019 0:00,1,1,9/14/2019 0:00,1,1,20170930
44507,HAPPY FEET,Day care home,377 W 23rd ST,Durango,CO,81301,La Plata,Durango,-107.879751,37.28892, , ,Level 1,6, , , , , ,12/31/2018 0:00,0,1,20170930
44719,SCHLESSMAN FAMILY YMCA,School age child care,2625 S Colorado BLVD,Denver,CO,80222,Denver,Denver,-104.941357,39.668922, , , ,220,10,7,6/30/2019 0:00,15,1,6/30/2019 0:00,2,1,20170930
44884,BVSD ASPEN CREEK K8 SAC,School age child care,5500 Aspen Creek K8,Broomfield,CO,80020,Broomfield,Broomfield,-105.056787,39.947513, , , ,100, , ,8/31/2019 0:00,0,1,8/31/2019 0:00,0,1,20170930
44888,BVSD ELDORADO K8 SAC,School age child care,3351 S Indiana ST,Superior,CO,80027,Boulder,Lafayette-Louisville,-105.161347,39.92124, , , ,100, , ,6/30/2019 0:00,0,1,8/31/2019 0:00,0,1,20170930
44951,ROYAL FAMILY KIDS CAMP,Resident Camp,7400 Highway 7,Estes Park,CO,80517,Larimer,Estes Park,-105.540049,40.272755, , , ,90, , , , , , , , ,20170930
45117,"THE TINY TIM CENTER, INC",Day care center,611 Korte PKWY,Longmont,CO,80501,Boulder,Longmont,-105.122671,40.150869,4/30/2016 0:00,4/30/2019 0:00,Level 4,110,22,21,2/29/2020 0:00,25,1,2/29/2020 0:00,22,1,20170930
45291,THE GREAT ESCAPE,Day care center,3757 Ponderosa DR,Evergreen,CO,80439,Jefferson,Central Jefferson,-105.338515,39.647337, , ,Level 1,64, , , , , , , , ,20170930
45473,FOOTHILLS PRESCHOOL,Preschool,13165 W Ohio AVE,Lakewood,CO,80228,Jefferson,Northeast Jefferson,-105.14661,39.703059,4/6/2017 0:00,4/6/2020 0:00,Level 2,16, , , , , , , , ,20170930
45479,SUNSHINE LEARNING CENTER,Day care center,1511 York RD,Colorado Springs,CO,80918,El Paso,Colorado Springs,-104.79712,38.929712, , ,Level 1,109,3,1,12/31/2017 0:00,3,1,12/31/2017 0:00,0,1,20170930
45480,AUGUSTANA EARLY LEARNING CENTER,Day care center,5000 E Alameda AVE,Denver,CO,80246,Denver,Denver,-104.928943,39.710267, , ,Level 4,148,7,5,6/30/2019 0:00,7,1,6/30/2019 0:00,4,1,20170930
45485,RUDE PARK DAY CARE CENTER,Day care center,1275 Decatur ST,Denver,CO,80204,Denver,Denver,-105.022225,39.736014, , ,Level 4,49,34,27,5/31/2019 0:00,37,1,5/31/2019 0:00,32,1,20170930
45492,MACKINTOSH ACADEMY,Day care center,7018 S Prince ST,Littleton,CO,80120,Arapahoe,Southwest Arapahoe,-105.015531,39.589368, , ,Level 1,15, , ,11/30/2019 0:00,1,1,11/30/2019 0:00,2,1,20170930
45497,DISCOVERY LEARNING CENTER,Day care center,2875 Village DR,Steamboat Springs,CO,80487,Routt,Steamboat Springs,-106.805509,40.451883, , ,Level 4,60,1,1,12/31/2017 0:00,1,1,12/31/2017 0:00,0,1,20170930
45498,CENTRAL CHRISTIAN PRESCHOOL,Preschool,1902 N Hudson,Pueblo,CO,81001,Pueblo,Pueblo,-104.594779,38.284637, , ,Level 1,40, , , , , , , , ,20170930
45499,KIDS KABIN PRESCHOOL INC.,Day care center,624 Pitkin,Steamboat Springs,CO,80487,Routt,Steamboat Springs,-106.846161,40.488031, , ,Level 1,15, , , , , , , , ,20170930
45503,MEAD ELEMENTARY PRESCHOOL,Preschool,0 Mead Elementary School,Mead,CO,80542,Weld,Johnstown-Milliken,-105.002065,40.232526, , ,Level 1,18, , , , , , , , ,20170930
45507,KIDS CAMPUS PRESCHOOL LLC,Day care center,1027 Main,Grand Junction,CO,81501,Mesa,Grand Junction,-108.555158,39.067053,2/3/2016 0:00,2/3/2019 0:00,Level 2,30,2,2,9/30/2017 0:00,5,1,9/30/2017 0:00,4,1,20170930
45508,HONEY BEAR TREE,Day care center,4881 S Acoma ST,Englewood,CO,80110,Arapahoe,Southwest Arapahoe,-104.989479,39.628087, , ,Level 1,100,12,9,10/31/2019 0:00,13,1,7/31/2020 0:00,12,1,20170930
45521,JEWISH COMMUNITY CENTER,Day care center,350 S Dahlia ST,Denver,CO,80222,Denver,Denver,-104.930516,39.71003,12/31/2015 0:00,12/31/2018 0:00,Level 3,172, , , , , , , , ,20170930
45526,DOTTIES DAY CARE AND PRESCHOOL INC,Day care center,6422 Vrain ST,Arvada,CO,80003,Adams,West Adams,-105.046513,39.813394,7/9/2015 0:00,7/9/2018 0:00,Level 2,125,58,35,10/31/2019 0:00,67,1,10/31/2019 0:00,60,1,20170930
45552,NORTHGLENN UNITED METHODIST PS/MDO,Day care center,1605 W 106th AVE,Northglenn,CO,80234,Adams,West Adams,-105.006231,39.889262, , ,Level 1,71, , , , , , , , ,20170930
45564,GINGERBREAD HOUSE DAY CARE CENTER,Day care center,318 Girault AVE,Alamosa,CO,81102,Alamosa,Alamosa,-105.883621,37.475911,5/31/2015 0:00,5/31/2018 0:00,Level 4,77,28,26,5/7/2018 0:00,25,1,9/14/2018 0:00,25,1,20170930
45573,ARAP COMM COLLEGE CHILD CARE CENTER,Day care center,5900 S Santa Fe DR,Littleton,CO,80120,Arapahoe,Southwest Arapahoe,-105.021081,39.610218, , ,Level 4,153,3,3,5/31/2020 0:00,3,1,5/31/2020 0:00,3,1,20170930
45581,WILLOWS ARAPAHO HILLS CHILD LEARNING,Day care center,5301 S Lowell BLVD,Littleton,CO,80123,Arapahoe,Southwest Arapahoe,-105.035821,39.620199, , ,Level 1,122,1,1,5/31/2019 0:00,1,1,5/31/2019 0:00,1,1,20170930
45608,FOUR CORNERS ENCAMPMENT,Resident Camp,24500 Hwy 145,Cortez,CO,81323,Montezuma,Dolores,-108.367533,37.571291, , , ,105, , , , , , , , ,20170930
45609,GATEWAY MONTESSORI SCHOOL,Day care center,1500 9th AVE,Longmont,CO,80501,Boulder,Longmont,-105.11721,40.174634,5/31/2017 0:00,5/31/2020 0:00,Level 3,50,5,5,5/31/2019 0:00,5,1,5/31/2019 0:00,5,1,20170930
45615,LAKEWOOD UNITED METHODIST  PDO + PRESCHOOL,Day care center,1390 Brentwood ST,Lakewood,CO,80214,Jefferson,Northeast Jefferson,-105.088914,39.73763, , ,Level 1,100, , , , , , , , ,20170930
45617,LIVING CHURCH ADVENTURES IN LEARNING,Day care center,2431 S Ash,Denver,CO,80222,Denver,Denver,-104.938832,39.67286, , ,Level 1,128,34,17,4/30/2019 0:00,40,1,7/31/2019 0:00,42,1,20170930
45620,MOUNTAIN TOTS PRESCHOOL,Day care center,236 W 3rd ST,Eagle,CO,81631,Eagle,Eagle-Gypsum,-106.829503,39.654162,1/8/2016 0:00,1/8/2019 0:00,Level 2,30, , ,9/30/2018 0:00,0,1,9/30/2018 0:00,0,1,20170930
45629,ASPEN SPROUTS,Day care center,315A Baltic AVE,Aspen,CO,81615,Pitkin,Aspen,-106.860972,39.221662, , ,Level 1,15,1,1,9/30/2018 0:00,1,1,9/30/2018 0:00,0,1,20170930
45680,ST MARK'S PRESCHOOL,Preschool,111 Del Mar CIR,Aurora,CO,80011,Arapahoe,South Aurora,-104.844036,39.728872,10/22/2015 0:00,10/22/2018 0:00,Level 2,50, , ,7/31/2018 0:00,0,1,7/31/2018 0:00,0,1,20170930
45684,EARLY CONNECTIONS @ SOUTH CHELTON,Day care center,1465 S Chelton,Colorado Springs,CO,80910,El Paso,Colorado Springs,-104.76534,38.811285, , ,Level 4,68,53,38,12/31/2017 0:00,60,1,12/31/2017 0:00,56,1,20170930
45686,ROCK OF AGES LUTHERAN CHILD CARE CTR,Day care center,120 N 31st ST,Colorado Springs,CO,80904,El Paso,Colorado Springs,-104.871619,38.855038, , ,Level 1,30, , , , , , , , ,20170930
45723,THE SALVATION ARMY,School age child care,802 Quari CT,Aurora,CO,80011,Arapahoe,South Aurora,-104.845831,39.729269, , , ,60,5,4,9/30/2019 0:00,8,1,9/30/2019 0:00,11,1,20170930
45751,DONNA HOLWEGNER,Day care home,2850 Annelise WAY,Fort Collins,CO,80525,Larimer,Fort Collins,-105.024656,40.546621,12/19/2016 0:00,12/19/2019 0:00,Level 2,6,3,2,12/31/2018 0:00,3,1,12/31/2018 0:00,3,1,20170930
45758,MARILYN GRIPPA,Experienced Child Care Provider,7365 Webster ST,Arvada,CO,80003,Jefferson,Northeast Jefferson,-105.081044,39.829676, , ,Level 1,9, , , , , , , , ,20170930
45800,TERESA MCKINLEY,Day care home,4060 Cantrell DR,Colorado Springs,CO,80911,El Paso,Fountain,-104.73672,38.772649, , ,Level 1,6, , , , , , , , ,20170930
45822,CINTHIA COX,Experienced Child Care Provider,1824 Jamison CT,Fort Collins,CO,80528,Larimer,Fort Collins,-105.043715,40.518955,3/1/2017 0:00,3/1/2020 0:00,Level 2,9, , , , , , , , ,20170930
45832,SALLY FERRY,Experienced Child Care Provider,1122 24 RD,Grand Junction,CO,81505,Mesa,Fruita,-108.604693,39.16758, , ,Level 1,9, , , , , , , , ,20170930
45847,PENNY POLSTON,Day Care Home 3,11218 W Ada PL,Lakewood,CO,80226,Jefferson,Northeast Jefferson,-105.122541,39.698981,3/28/2017 0:00,3/28/2020 0:00,Level 2,6, , , , , , , , ,20170930
45852,TEACHING TREE EARLY CHILDHOOD LEARNING CENTER,Day care center,424 Pine ST  100,Fort Collins,CO,80524,Larimer,Fort Collins,-105.072812,40.592057,1/31/2016 0:00,1/31/2019 0:00,Level 4,101,18,12,12/31/2019 0:00,23,1,12/31/2019 0:00,15,1,20170930
45902,JEAN ST CYR,Experienced Child Care Provider,706 Locust Grove DR,Fort Collins,CO,80521,Larimer,Fort Collins,-105.129185,40.579548, , ,Level 1,9, , , , , , , , ,20170930
45964,ASCENSION PRESCHOOL,Preschool,420 W 18th ST,Pueblo,CO,81003,Pueblo,Pueblo,-104.612926,38.283164,4/30/2015 0:00,4/30/2018 0:00,Level 4,54, , , , , , , , ,20170930
45967,MARILYN DEAN,Day care home,4776 S Oak CT,Littleton,CO,80127,Jefferson,Northeast Jefferson,-105.119428,39.630313,9/5/2017 0:00,9/5/2020 0:00,Level 2,6, , , , , , , , ,20170930
45970,WILLOWS CHILD LEARNING CENTER,Day care center,6865 S QUEBEC ST,Centennial,CO,80112,Arapahoe,Southwest Arapahoe,-104.904837,39.592443, , ,Level 1,160, , ,7/31/2018 0:00,0,1,7/31/2018 0:00,0,1,20170930
45983,THE COTTAGE SCHOOL,Day care center,805/797 30th ST,Boulder,CO,80303,Boulder,Boulder,-105.253181,40.002461,11/8/2016 0:00,11/8/2019 0:00,Level 2,104,57,34,5/31/2019 0:00,66,1,5/31/2019 0:00,66,1,20170930
45985,UNIV CO FMLY HSNG CHILDRENS CTR,Day care center,2202 Arapahoe,Boulder,CO,80302,Boulder,Boulder,-105.265991,40.014187, , ,Level 4,84,3,3,5/31/2019 0:00,3,1,5/31/2019 0:00,1,1,20170930
45988,BUSY BEES PRESCHOOL,Day care center,601 S San Juan,Buena Vista,CO,81211,Chaffee,Buena Vista,-106.133243,38.835961,8/22/2016 0:00,8/22/2019 0:00,Level 2,80, , , , , , , , ,20170930
45995,ACTIVE LEARNING CENTER,Day care center,2601 Hazel CT,Denver,CO,80211,Denver,Denver,-105.02781,39.755187, , ,Level 4,25, , , , , , , , ,20170930
46001,TEMPLE BAPTIST CHURCH / SON SHINE INN,Day care center,530 F ST,Salida,CO,81201,Chaffee,Salida,-105.99541,38.532708,8/5/2016 0:00,8/5/2019 0:00,Level 2,30,3,3,10/31/2017 0:00,4,1,7/31/2018 0:00,6,1,20170930
46004,AURARIA EARLY LEARNING CENTER,Day care center,950 9th Street Park,Denver,CO,80204,Denver,Denver,-105.00322,39.740407,6/30/2015 0:00,6/30/2018 0:00,Level 4,250,36,31,10/31/2019 0:00,42,1,10/31/2019 0:00,42,1,20170930
46022,EDNA OLIVER CHILD DEVELOPMENT CENTER,Day care center,2851 Tremont PL,Denver,CO,80205,Denver,Denver,-104.974731,39.754894, , ,Level 4,84,32,25,11/30/2019 0:00,33,1,11/30/2019 0:00,33,1,20170930
46026,CHRIST LUTHERAN PRESCHOOL/KINDERGTN,Day care center,2695 S Franklin ST,Denver,CO,80210,Denver,Denver,-104.969122,39.668089,2/29/2016 0:00,2/28/2019 0:00,Level 3,60, , , , , , , , ,20170930
46028,HOPE CENTER INC,Day care center,3400 Elizabeth ST,Denver,CO,80205,Denver,Denver,-104.955517,39.765065,3/31/2016 0:00,3/31/2019 0:00,Level 4,212,2,2,3/31/2019 0:00,2,1,3/31/2019 0:00,4,1,20170930
46029,ILIFF PRESCHOOL,Day care center,4140 E Iliff AVE,Denver,CO,80222,Denver,Denver,-104.938717,39.674389, , ,Level 1,174, , , , , , , , ,20170930
46032,NOTRE DAME EARLY LEARNING CENTER,Day care center,2141 S Zenobia,Denver,CO,80219,Denver,Denver,-105.052628,39.677724,11/30/2016 0:00,11/30/2019 0:00,Level 2,106, , , , , , , , ,20170930
46036,KING BAPTIST CHURCH DCC,Day care center,3370 Ivy ST,Denver,CO,80207,Denver,Denver,-104.919659,39.764792,5/31/2015 0:00,5/31/2018 0:00,Level 3,60,62,35,5/31/2019 0:00,67,1,5/31/2019 0:00,55,1,20170930
46039,MONTESSORI SCHOOL OF DENVER CHILD CARE,Day care center,1460 S Holly ST,Denver,CO,80222,Denver,Denver,-104.921781,39.689944, , ,Level 3,203, , , , , , , , ,20170930
46041,MOUNTAIN VIEW CHILD CARE CTR,Day care center,3939 W Florida AVE,Denver,CO,80219,Denver,Denver,-105.038366,39.6899,4/30/2016 0:00,4/30/2019 0:00,Level 4,99,47,31,10/31/2019 0:00,52,1,10/31/2019 0:00,47,1,20170930
46062,LA PETITE ACADEMY,Day care center,4290 S Richfield ST,Aurora,CO,80013,Arapahoe,South Aurora,-104.78418,39.63881,3/31/2016 0:00,3/31/2019 0:00,Level 2,96,44,33,5/31/2019 0:00,55,1,5/31/2019 0:00,53,1,20170930
46082,WESTWOOD CHILD DEVELOPMENT CENTER,Day care center,980 S Lowell BLVD,Denver,CO,80219,Denver,Denver,-105.033957,39.698865, , ,Level 4,131,48,39,4/30/2019 0:00,48,1,4/30/2019 0:00,54,1,20170930
46085,SEWALL CHILD DEVELOPMENT,Day care center,940 Fillmore ST,Denver,CO,80206,Denver,Denver,-104.952692,39.73148, , ,Level 4,73,4,3,12/31/2019 0:00,5,1,12/31/2019 0:00,0,1,20170930
46087,WARREN VILLAGE LEARNING CENTER I,Day care center,1323 Gilpin ST,Denver,CO,80218,Denver,Denver,-104.967587,39.737418, , ,Level 4,199,75,52,11/30/2017 0:00,91,1,11/30/2017 0:00,91,1,20170930
46097,RABBI STEVEN FOSTER ELC @ TEMPLE EMANUEL,Day care center,51 Grape ST,Denver,CO,80220,Denver,Denver,-104.925784,39.717038,12/31/2015 0:00,12/31/2018 0:00,Level 3,293, , , , , , , , ,20170930
46099,PARK HILL UNTD MTHDST CHILDRENS CTR,Day care center,5209 Montview BLVD,Denver,CO,80207,Denver,Denver,-104.926406,39.747934,3/31/2016 0:00,3/31/2019 0:00,Level 3,134, , , , , , , , ,20170930
46101,MISSION HILLS EARLY LEARNING CENTER,Day care center,620 S Park DR,Littleton,CO,80120,Arapahoe,Southwest Arapahoe,-104.995393,39.567299, , ,Level 3,163, , , , , , , , ,20170930
46102,PARZIVAL SHIELD PRESCHOOL/KINDERGARTEN,Day care center,2180 S Madison ST,Denver,CO,80210,Denver,Denver,-104.946241,39.677096, , ,Level 1,20, , , , , , , , ,20170930
46124,IRMA BOWERS,Day Care Home 3,6560 Zang ST,Arvada,CO,80004,Jefferson,Northeast Jefferson,-105.145688,39.815928, , ,Level 1,6, , , , , , , , ,20170930
46153,EARLY CONNECTIONS @ ANTLERS PLACE,Day care center,108 Antlers PL,Colorado Springs,CO,80903,El Paso,Colorado Springs,-104.827599,38.833322, , ,Level 4,98,40,36,12/31/2017 0:00,42,1,12/31/2017 0:00,40,1,20170930
46155,PIKES PEAK CHRISTIAN SCHOOL,Day care center,5905 Flintridge DR,Colorado Springs,CO,80918,El Paso,Colorado Springs,-104.762366,38.917885,4/28/2017 0:00,4/28/2020 0:00,Level 2,115, , , , , , , , ,20170930
46156,THE ENRICHMENT CENTER OF GRACEPOINTE,Day care center,305 Norman DR,Security,CO,80911,El Paso,Fountain,-104.737768,38.754191,2/1/2016 0:00,2/1/2019 0:00,Level 2,88,20,16,12/31/2017 0:00,22,1,12/31/2017 0:00,27,1,20170930
46160,GREENSHADE SCHOOLS INC,Day care center,1019 W Cheyenne RD,Colorado Springs,CO,80906,El Paso,Colorado Springs,-104.845646,38.799729,7/6/2015 0:00,7/6/2018 0:00,Level 2,91,22,16,12/31/2017 0:00,29,1,12/31/2017 0:00,23,1,20170930
46162,JUNIOR ACADEMY SMALL WONDERS,Day care center,4750 El Camino DR,Colorado Springs,CO,80918,El Paso,Colorado Springs,-104.76544,38.900855,7/31/2017 0:00,7/31/2020 0:00,Level 3,103,49,30,12/31/2017 0:00,57,1,9/30/2017 0:00,46,1,20170930
46163,JUNIOR ACADEMY LTD,Day care center,1311 N Nevada,Colorado Springs,CO,80903,El Paso,Colorado Springs,-104.820252,38.852429,8/31/2017 0:00,8/31/2020 0:00,Level 3,90,86,49,1/31/2018 0:00,94,1,1/31/2018 0:00,80,1,20170930
46167,RUTH WASHBURN COOP NURSERY SCHOOL,Day care center,914 N 19th ST,Colorado Springs,CO,80904,El Paso,Colorado Springs,-104.850086,38.851213,3/31/2017 0:00,3/31/2020 0:00,Level 4,80, , , , , , , , ,20170930
46171,PLEASANT VALLEY BAPTIST CHURCH,Day care center,3010 W Bijou,Colorado Springs,CO,80904,El Paso,Colorado Springs,-104.868598,38.854439,2/23/2016 0:00,2/23/2019 0:00,Level 2,60,20,11,12/31/2017 0:00,22,1,12/31/2017 0:00,17,1,20170930
46174,THE PRESCHOOL PROGRAM AT ST PAUL CATHOLIC SCH,Preschool,1601 Mesa AVE,Colorado Springs,CO,80906,El Paso,Colorado Springs,-104.855686,38.790251, , ,Level 1,15, , , , , , , , ,20170930
46197,BORN TO THE GOLDEN MTN/MONTESSORI CTR,Day care center,306 W Brookside AVE,Colorado Springs,CO,80905,El Paso,Colorado Springs,-104.833647,38.812884,2/18/2017 0:00,2/18/2020 0:00,Level 2,30, , , , , , , , ,20170930
46243,MT SOPRIS MONTESSORI SCHOOL,Day care center,879 Euclid,Carbondale,CO,81623,Garfield,Glenwood Springs,-107.216612,39.399183, , ,Level 1,65, , ,9/30/2019 0:00,0,1,9/30/2019 0:00,0,1,20170930
46248,CHILDRENS MINI COLLEGE,Preschool,1402 Blake AVE,Glenwood Springs,CO,81601,Garfield,Glenwood Springs,-107.322805,39.539084,12/31/2016 0:00,12/31/2019 0:00,Level 4,20, , ,8/31/2017 0:00,0,1, , , ,20170930
46255,KREMMLING PRESCHOOL,Day care center,715 Kinsey AVE,Kremmling,CO,80459,Grand,Kremmling,-106.386358,40.061088, , ,Level 4,34, , , , , , , , ,20170930
